"","uID","Season","Grid","Species","ID","Capture_type","Date_capture","Station","Trap_type","SVL_mm","Site","inundated","BA","Season.centred"
"344",344,2017.92602739726,"RE2","op","RE2-(12)010","Marked","24/11/2017","c3","Pitfall",56,"RE",0,0,-2.98927314918797
"345",345,2018.93150684932,"WP2","op","WP2-4050","Marked","14/11/2018","a5","Pitfall",49,"WP",0,0,-1.98379369713302
"348",348,2017.92602739726,"RE2","op","RE2-0440","Marked","24/11/2017","a6","Pitfall",62,"RE",0,0,-2.98927314918797
"350",350,2017.92602739726,"RE2","op","RE2-5310","Marked","24/11/2017","d1","Pitfall",62,"RE",0,0,-2.98927314918797
"351",351,2018.93150684932,"WP2","wm","S4-WP2-4","Marked","21/11/2018","b1","Pitfall",67,"WP",0,0,-1.98379369713302
"352",352,2017.92602739726,"RE2","op","RE2-0540","Marked","25/11/2017","b4","Pitfall",39,"RE",0,0,-2.98927314918797
"355",355,2018.93150684932,"WP2","wm","S4-WP2-5F","Marked","14/11/2018","c2","Pitfall",60,"WP",0,0,-1.98379369713302
"356",356,2017.92602739726,"RE2","op","RE2-0200","Marked","25/11/2017","","Pitfall",55,"RE",0,0,-2.98927314918797
"357",357,2018.93150684932,"WP2","wm","S4-WP2-6S","Marked","14/11/2018","e3","Onduline",64,"WP",0,0,-1.98379369713302
"359",359,2018.93150684932,"WP2","wm","S4-WP2-7S","Marked","14/11/2018","e4","Pitfall",40,"WP",0,0,-1.98379369713302
"360",360,2018.93150684932,"WP2","op","WP2-4400","Marked","15/11/2018","c6","Pitfall",50.5,"WP",0,0,-1.98379369713302
"361",361,2018.93150684932,"WP2","op","WP2-0034","Marked","15/11/2018","e3","Pitfall",58,"WP",0,0,-1.98379369713302
"362",362,2018.93150684932,"WP2","wm","S4-WP2-13","Marked","16/11/2018","a4","Onduline",68,"WP",0,0,-1.98379369713302
"365",365,2018.93150684932,"WP2","op","WP2-4020","Marked","16/11/2018","a4","Pitfall",52,"WP",0,0,-1.98379369713302
"366",366,2018.93150684932,"WP2","wm","S4-WP2-14","Marked","16/11/2018","e4","Onduline",61,"WP",0,0,-1.98379369713302
"369",369,2018.93150684932,"WP2","op","WP2-0035","Marked","20/11/2018","c1","Onduline",66,"WP",0,0,-1.98379369713302
"370",370,2018.93150684932,"WP2","wm","S4-WP2-20","Marked","20/11/2018","d4","Pitfall",57,"WP",0,0,-1.98379369713302
"371",371,2018.93150684932,"WP2","wm","S4-WP2-21","Marked","20/11/2018","d5","Pitfall",58,"WP",0,0,-1.98379369713302
"372",372,2018.93150684932,"WP2","wm","S4-WP2-22","Marked","20/11/2018","f3","Onduline",62,"WP",0,0,-1.98379369713302
"373",373,2018.93150684932,"WP2","op","WP2-4050","Marked","21/11/2018","a5","Pitfall",50,"WP",0,0,-1.98379369713302
"374",374,2018.93150684932,"WP2","op","WP2-3500","Marked","21/11/2018","d3","Pitfall",48,"WP",0,0,-1.98379369713302
"375",375,2018.93150684932,"WP2","op","WP2-3400","Marked","21/11/2018","e5","Pitfall",56,"WP",0,0,-1.98379369713302
"376",376,2018.93150684932,"WP2","op","WP2-4005","Marked","22/11/2018","a4","Pitfall",49,"WP",0,0,-1.98379369713302
"377",377,2018.93150684932,"WP2","wm","S4-WP2-23","Marked","22/11/2018","a2","Pitfall",63,"WP",0,0,-1.98379369713302
"378",378,2018.93150684932,"WP2","wm","S4-WP2-24","Marked","22/11/2018","a1","Pitfall",68,"WP",0,0,-1.98379369713302
"379",379,2018.93150684932,"WP2","wm","S4-WP2-25","Marked","22/11/2018","f4","Pitfall",48,"WP",0,0,-1.98379369713302
"380",380,2018.93150684932,"WP2","op","WP2-2005","Marked","23/11/2018","a3","Pitfall",45,"WP",0,0,-1.98379369713302
"381",381,2018.93150684932,"WP2","wm","S4-WP2-15","Marked","23/11/2018","a5","Pitfall",64,"WP",0,0,-1.98379369713302
"382",382,2018.93150684932,"WP2","wm","S4-WP2-27","Marked","27/11/2018","a1","Pitfall",59,"WP",0,0,-1.98379369713302
"383",383,2018.93150684932,"WP2","wm","S4-WP2-28","Marked","27/11/2018","c1","Onduline",60,"WP",0,0,-1.98379369713302
"384",384,2018.93150684932,"WP2","wm","S4-WP2-29","Marked","27/11/2018","d1","Onduline",68,"WP",0,0,-1.98379369713302
"385",385,2018.93150684932,"WP2","op","WP2-5300","Marked","27/11/2018","c3","Onduline",52,"WP",0,0,-1.98379369713302
"386",386,2018.93150684932,"WP2","wm","S4-WP2-30","Marked","27/11/2018","e6","Onduline",59,"WP",0,0,-1.98379369713302
"387",387,2018.93150684932,"WP2","wm","S4-WP2-31","Marked","27/11/2018","e3","Onduline",66,"WP",0,0,-1.98379369713302
"388",388,2018.93150684932,"WP2","op","WP2-3300","Marked","21/11/2018","f3","Pitfall",58,"WP",0,0,-1.98379369713302
"390",390,2018.93150684932,"WP2","wm","S4-WP2-32","Marked","27/11/2018","f1","Onduline",66,"WP",0,0,-1.98379369713302
"391",391,2018.93150684932,"WP3","wm","S4-WP3-33","Marked","28/11/2018","a4","Onduline",57,"WP",1,0,-1.98379369713302
"392",392,2018.93150684932,"WP3","wm","S4-WP3-34","Marked","28/11/2018","b4","Pitfall",66,"WP",1,0,-1.98379369713302
"394",394,2018.93150684932,"WP3","wm","S4-WP3-35","Marked","28/11/2018","b6","Pitfall",63,"WP",1,0,-1.98379369713302
"397",397,2018.93150684932,"WP3","wm","S4-WP3-36","Marked","28/11/2018","c5","Pitfall",63,"WP",1,0,-1.98379369713302
"398",398,2018.93150684932,"WP3","wm","S4-WP3-37","Marked","28/11/2018","d6","Pitfall",56,"WP",1,0,-1.98379369713302
"400",400,2018.93150684932,"WP3","wm","S4-WP3-38","Marked","28/11/2018","e1","Pitfall",54,"WP",1,0,-1.98379369713302
"401",401,2018.93150684932,"WP3","wm","S4-WP3-..","Marked","28/11/2018","d4","Pitfall",34,"WP",1,0,-1.98379369713302
"402",402,2018.93150684932,"WP3","wm","S4-WP3-39","Marked","28/11/2018","e5","Pitfall",63,"WP",1,0,-1.98379369713302
"403",403,2018.93150684932,"WP3","wm","S4-WP3-40","Marked","28/11/2018","e4","Pitfall",60,"WP",1,0,-1.98379369713302
"404",404,2018.93150684932,"WP3","wm","S4-WP3-41","Marked","28/11/2018","e4","Pitfall",62,"WP",1,0,-1.98379369713302
"405",405,2018.93150684932,"WP3","wm","S4-WP3-42","Marked","28/11/2018","d3","Pitfall",54,"WP",1,0,-1.98379369713302
"406",406,2018.93150684932,"WP3","op","WP3-00(34)0","Marked","29/11/2018","a1","Pitfall",55.5,"WP",1,0,-1.98379369713302
"408",408,2018.93150684932,"WP3","wm","S4-WP3-16","Marked","29/11/2018","e4","Onduline",60,"WP",1,0,-1.98379369713302
"409",409,2018.93150684932,"WP3","op","WP3-3030","Marked","29/11/2018","d2","Pitfall",49,"WP",1,0,-1.98379369713302
"410",410,2018.93150684932,"WP3","wm","S4-WP3-39","Marked","29/11/2018","e5","Onduline",65,"WP",1,0,-1.98379369713302
"411",411,2018.93150684932,"WP3","wm","S4-WP3-17","Marked","29/11/2018","e5","Pitfall",64,"WP",1,0,-1.98379369713302
"412",412,2018.93150684932,"WP3","op","WP3-3020","Marked","30/11/2018","a3","Pitfall",47,"WP",1,0,-1.98379369713302
"413",413,2018.93150684932,"WP3","op","WP3-3050","Marked","30/11/2018","d6","Pitfall",50,"WP",1,0,-1.98379369713302
"414",414,2018.93150684932,"WP3","op","WP3-5040","Marked","5/12/2018","b1","Pitfall",52,"WP",1,0,-1.98379369713302
"415",415,2018.93150684932,"WP3","wm","S4-WP3-19","Marked","5/12/2018","a6","Pitfall",71,"WP",1,0,-1.98379369713302
"417",417,2018.93150684932,"WP3","wm","S4-WP3-43","Marked","4/12/2018","d6","Pitfall",34,"WP",1,0,-1.98379369713302
"418",418,2018.93150684932,"WP3","wm","S4-WP3-18","Marked","4/12/2018","d4","Pitfall",57,"WP",1,0,-1.98379369713302
"420",420,2018.93150684932,"WP3","wm","S4-WP3-44","Marked","6/12/2018","e4","Pitfall",45,"WP",1,0,-1.98379369713302
"421",421,2018.93150684932,"WP3","wm","S4-WP3-45","Marked","7/12/2018","a5","Pitfall",54,"WP",1,0,-1.98379369713302
"422",422,2018.93150684932,"WP3","op","WP3-3005","Marked","7/12/2018","d4","Pitfall",52,"WP",1,0,-1.98379369713302
"423",423,2018.93150684932,"WP3","wm","S4-WP3-46","Marked","11/12/2018","e5","Pitfall",61,"WP",1,0,-1.98379369713302
"424",424,2018.93150684932,"WP3","wm","S4-WP3-47","Marked","12/12/2018","a4","Onduline",63,"WP",1,0,-1.98379369713302
"425",425,2018.93150684932,"WP3","wm","S4-WP3-48","Marked","12/12/2018","b5","Pitfall",54,"WP",1,0,-1.98379369713302
"426",426,2018.93150684932,"WP3","wm","S4-WP3-49","Marked","12/12/2018","b5","Pitfall",67,"WP",1,0,-1.98379369713302
"427",427,2018.93150684932,"WP3","wm","S4-WP3-50","Marked","13/12/2018","b5","Pitfall",43,"WP",1,0,-1.98379369713302
"428",428,2018.93150684932,"WP3","wm","S4-WP3-51","Marked","13/12/2018","b5","Pitfall",44,"WP",1,0,-1.98379369713302
"429",429,2018.93150684932,"WP3","wm","S4-WP3-52","Marked","14/12/2018","b4","Pitfall",52,"WP",1,0,-1.98379369713302
"430",430,2018.93150684932,"WP3","wm","S4-WP3-53","Marked","14/12/2018","b5","Pitfall",65.5,"WP",1,0,-1.98379369713302
"431",431,2018.93150684932,"MP1","wm","S4-MP1-9","Marked","4/12/2018","b4","Onduline",56,"MP",1,0,-1.98379369713302
"432",432,2018.93150684932,"MP1","op","MP1-0402","Marked","7/12/2018","a1","Pitfall",58,"MP",1,0,-1.98379369713302
"433",433,2018.93150684932,"MP1","op","MP1-0005","Marked","13/12/2018","f2","Pitfall",53,"MP",1,0,-1.98379369713302
"434",434,2018.93150684932,"MP1","op","MP1-4400","Marked","21/12/2018","a2","Pitfall",52,"MP",1,0,-1.98379369713302
"435",435,2018.93150684932,"MP2","wm","S4-MP2-1","Marked","13/11/2018","a4","Pitfall",56,"MP",0,0,-1.98379369713302
"436",436,2018.93150684932,"MP2","op","MP2-0350j","Marked","14/11/2018","c5","Pitfall",43,"MP",0,0,-1.98379369713302
"437",437,2018.93150684932,"MP2","wm","S4-MP2-5","Marked","15/11/2018","b5","Pitfall",67,"MP",0,0,-1.98379369713302
"438",438,2018.93150684932,"MP2","op","MP2-0203","Marked","15/11/2018","d2","Onduline",43.5,"MP",0,0,-1.98379369713302
"439",439,2018.93150684932,"MP2","wm","S4-MP2-6","Marked","15/11/2018","a5","Pitfall",53,"MP",0,0,-1.98379369713302
"441",441,2018.93150684932,"MP2","wm","S4-MP2-7","Marked","16/11/2018","a1","Pitfall",58,"MP",0,0,-1.98379369713302
"442",442,2018.93150684932,"MP2","op","MP2-0350m","Marked","22/11/2018","d1","Onduline",51.5,"MP",0,0,-1.98379369713302
"443",443,2018.93150684932,"MP2","wm","S4-MP2-4F","Marked","23/11/2018","a4","Onduline",62,"MP",0,0,-1.98379369713302
"444",444,2018.93150684932,"MP2","op","MP2-0404","Marked","23/11/2018","c6","Pitfall",53,"MP",0,0,-1.98379369713302
"445",445,2018.93150684932,"MP2","op","MP2-0403","Marked","23/11/2018","a5","Pitfall",54,"MP",0,0,-1.98379369713302
"446",446,2018.93150684932,"MP2","op","MP2-5005","Marked","28/11/2018","f4","Pitfall",62,"MP",0,0,-1.98379369713302
"448",448,2019.81369863014,"WP2","wm","S5-WP2-1","Marked","12/10/2019","a6","Pitfall",60,"WP",0,0,-1.10160191631121
"449",449,2019.81369863014,"WP2","wm","S5-WP2-2","Marked","12/10/2019","a6","Pitfall",61,"WP",0,0,-1.10160191631121
"450",450,2019.81369863014,"WP2","op","WP2-0300","Marked","12/10/2019","a5","Onduline",44,"WP",0,0,-1.10160191631121
"451",451,2019.81369863014,"WP2","wm","S5-WP2-3","Marked","12/10/2019","d6","Onduline",64,"WP",0,0,-1.10160191631121
"452",452,2019.81369863014,"WP2","wm","S5-WP2-4","Marked","12/10/2019","d4","Onduline",40,"WP",0,0,-1.10160191631121
"453",453,2019.81369863014,"WP2","wm","S5-WP2-5","Marked","12/10/2019","b1","Pitfall",46,"WP",0,0,-1.10160191631121
"454",454,2019.81369863014,"WP2","op","WP2-00(34)0","Marked","12/10/2019","b1","Pitfall",61,"WP",0,0,-1.10160191631121
"455",455,2019.81369863014,"WP2","op","WP2-0001","Marked","12/10/2019","b1","Pitfall",57,"WP",0,0,-1.10160191631121
"456",456,2019.81369863014,"WP2","wm","S5-WP2-6","Marked","12/10/2019","c1","Pitfall",65,"WP",0,0,-1.10160191631121
"457",457,2019.81369863014,"WP2","wm","S5-WP2-7","Marked","12/10/2019","c1","Pitfall",66,"WP",0,0,-1.10160191631121
"458",458,2019.81369863014,"WP2","op","WP2-0201","Marked","12/10/2019","b3","Pitfall",47,"WP",0,0,-1.10160191631121
"459",459,2019.81369863014,"WP2","wm","S5-WP2-8","Marked","12/10/2019","d5","Onduline",58,"WP",0,0,-1.10160191631121
"461",461,2019.81369863014,"WP2","op","WP2-0310","Marked","12/10/2019","e4","Pitfall",56,"WP",0,0,-1.10160191631121
"462",462,2019.81369863014,"WP2","wm","S5-WP2-10","Marked","12/10/2019","e3","Onduline",60,"WP",0,0,-1.10160191631121
"463",463,2019.81369863014,"WP2","wm","S5-WP2-11","Marked","12/10/2019","f3","Pitfall",68,"WP",0,0,-1.10160191631121
"464",464,2019.81369863014,"WP2","wm","S5-WP2-12","Marked","12/10/2019","f3","Pitfall",64,"WP",0,0,-1.10160191631121
"465",465,2019.81369863014,"WP2","wm","S5-WP2-13","Marked","12/10/2019","f2","Pitfall",58,"WP",0,0,-1.10160191631121
"466",466,2019.81369863014,"WP2","wm","S5-WP2-14","Marked","12/10/2019","e2","Pitfall",66,"WP",0,0,-1.10160191631121
"467",467,2019.81369863014,"WP2","wm","S5-WP2-15","Marked","12/10/2019","d1","Pitfall",60,"WP",0,0,-1.10160191631121
"468",468,2019.81369863014,"WP2","wm","S5-WP2-16","Marked","13/10/2019","a6","Pitfall",56,"WP",0,0,-1.10160191631121
"469",469,2019.81369863014,"WP2","op","WP2-0023","Marked","13/10/2019","a6","Pitfall",63.5,"WP",0,0,-1.10160191631121
"470",470,2019.81369863014,"WP2","op","WP2-0040","Marked","13/10/2019","a4","Pitfall",58,"WP",0,0,-1.10160191631121
"471",471,2019.81369863014,"WP2","op","WP2-2500","Marked","13/10/2019","a2","Pitfall",46,"WP",0,0,-1.10160191631121
"472",472,2019.81369863014,"WP2","op","WP2-2400","Marked","13/10/2019","b1","Pitfall",60,"WP",0,0,-1.10160191631121
"473",473,2019.81369863014,"WP2","op","WP2-2300","Marked","13/10/2019","d1","Pitfall",44,"WP",0,0,-1.10160191631121
"474",474,2019.81369863014,"WP2","wm","S5-WP2-17","Marked","13/10/2019","c6","Onduline",42,"WP",0,0,-1.10160191631121
"475",475,2019.81369863014,"WP2","op","WP2-2200","Marked","13/10/2019","f4","Pitfall",43,"WP",0,0,-1.10160191631121
"476",476,2019.81369863014,"WP2","op","WP2-2100","Marked","13/10/2019","f4","Pitfall",48,"WP",0,0,-1.10160191631121
"477",477,2019.81369863014,"WP2","op","WP2-5003","Marked","14/10/2019","b1","Pitfall",56,"WP",0,0,-1.10160191631121
"478",478,2019.81369863014,"WP2","wm","S5-WP2-25","Marked","14/10/2019","c6","Onduline",54,"WP",0,0,-1.10160191631121
"479",479,2019.81369863014,"WP2","op","WP2-5004","Marked","14/10/2019","f2","Onduline",45,"WP",0,0,-1.10160191631121
"480",480,2019.81369863014,"WP2","op","WP2-0041","Marked","17/10/2019","a6","Pitfall",44,"WP",0,0,-1.10160191631121
"481",481,2019.81369863014,"WP2","op","WP2-0051","Marked","17/10/2019","a6","Pitfall",58,"WP",0,0,-1.10160191631121
"482",482,2019.81369863014,"WP2","wm","S5-WP2-26","Marked","17/10/2019","c1","Onduline",67,"WP",0,0,-1.10160191631121
"483",483,2019.81369863014,"WP2","op","WP2-0501","Marked","17/10/2019","c2","Pitfall",59,"WP",0,0,-1.10160191631121
"484",484,2019.81369863014,"WP2","op","WP2-3003","Marked","17/10/2019","d6","Pitfall",36,"WP",0,0,-1.10160191631121
"485",485,2019.81369863014,"WP2","wm","S5-WP2-28","Marked","18/10/2019","b6","Onduline",55,"WP",0,0,-1.10160191631121
"486",486,2019.81369863014,"WP2","wm","S5-WP2-H","Marked","18/10/2019","b4","Onduline",56,"WP",0,0,-1.10160191631121
"487",487,2019.81369863014,"WP2","op","WP2-0102","Marked","18/10/2019","","Onduline",60,"WP",0,0,-1.10160191631121
"488",488,2019.81369863014,"WP2","op","WP2-4003","Marked","19/10/2019","d3","Onduline",37,"WP",0,0,-1.10160191631121
"489",489,2019.81369863014,"WP2","wm","S5-WP2-27","Marked","20/10/2019","b1","Onduline",54,"WP",0,0,-1.10160191631121
"490",490,2019.81369863014,"WP3","wm","S5-WP3-1","Marked","22/10/2019","a1","Onduline",64,"WP",1,0,-1.10160191631121
"491",491,2019.81369863014,"WP3","wm","S5-WP3-2","Marked","22/10/2019","b5","Onduline",32.5,"WP",1,0,-1.10160191631121
"492",492,2019.81369863014,"WP3","wm","S5-WP3-J","Marked","22/10/2019","e5","Onduline",43,"WP",1,0,-1.10160191631121
"493",493,2019.81369863014,"WP3","wm","S5-WP3-3","Marked","22/10/2019","d1","Onduline",59,"WP",1,0,-1.10160191631121
"494",494,2019.81369863014,"WP3","wm","S5-WP3-4","Marked","22/10/2019","e3","Onduline",54,"WP",1,0,-1.10160191631121
"495",495,2019.81369863014,"WP3","op","WP3-1010","Marked","23/10/2019","b3","Pitfall",57,"WP",1,0,-1.10160191631121
"496",496,2019.81369863014,"WP3","wm","S5-WP3-5","Marked","23/10/2019","e3","Pitfall",62,"WP",1,0,-1.10160191631121
"497",497,2019.81369863014,"WP3","wm","S5-WP3-6","Marked","23/10/2019","d5","Pitfall",53,"WP",1,0,-1.10160191631121
"498",498,2019.81369863014,"WP3","wm","S5-WP3-7","Marked","23/10/2019","d5","Pitfall",45,"WP",1,0,-1.10160191631121
"499",499,2019.81369863014,"WP3","op","WP3-1400","Marked","24/10/2019","a1","Pitfall",46,"WP",1,0,-1.10160191631121
"500",500,2019.81369863014,"WP3","op","WP3-3005","Marked","24/10/2019","a2","Pitfall",46,"WP",1,0,-1.10160191631121
"501",501,2019.81369863014,"WP3","op","WP3-400(34)","Marked","24/10/2019","a4","Pitfall",46,"WP",1,0,-1.10160191631121
"502",502,2019.81369863014,"WP3","op","WP3-5005","Marked","24/10/2019","a6","Pitfall",54,"WP",1,0,-1.10160191631121
"503",503,2019.81369863014,"WP3","op","WP3-5010","Marked","24/10/2019","a6","Pitfall",62,"WP",1,0,-1.10160191631121
"504",504,2019.81369863014,"WP3","op","WP3-2001","Marked","24/10/2019","d3","Pitfall",43,"WP",1,0,-1.10160191631121
"505",505,2019.81369863014,"WP3","op","WP3-1002","Marked","24/10/2019","e1","Pitfall",48,"WP",1,0,-1.10160191631121
"506",506,2019.81369863014,"WP3","op","WP3-1003","Marked","24/10/2019","e1","Pitfall",41,"WP",1,0,-1.10160191631121
"507",507,2019.81369863014,"WP3","wm","S5-WP3-8","Marked","24/10/2019","e5","Onduline",34,"WP",1,0,-1.10160191631121
"508",508,2019.81369863014,"WP3","wm","S5-WP3-9","Marked","26/10/2019","b4","Pitfall",54,"WP",1,0,-1.10160191631121
"509",509,2019.81369863014,"WP3","wm","S5-WP3-10","Marked","26/10/2019","b5","Pitfall",61,"WP",1,0,-1.10160191631121
"510",510,2019.81369863014,"WP3","wm","S5-WP3-11","Marked","26/10/2019","d5","Pitfall",48,"WP",1,0,-1.10160191631121
"511",511,2019.81369863014,"WP3","op","WP3-0015","Marked","26/10/2019","d4","Pitfall",52,"WP",1,0,-1.10160191631121
"512",512,2019.81369863014,"WP3","wm","S5-WP3-12","Marked","28/10/2019","b5","Pitfall",56,"WP",1,0,-1.10160191631121
"513",513,2019.81369863014,"WP3","wm","S5-WP3-13","Marked","28/10/2019","c4","Pitfall",68,"WP",1,0,-1.10160191631121
"514",514,2019.81369863014,"WP3","op","WP3-2010","Marked","28/10/2019","c6","Pitfall",46,"WP",1,0,-1.10160191631121
"515",515,2019.81369863014,"WP3","op","WP3-1500","Marked","28/10/2019","e4","Pitfall",46,"WP",1,0,-1.10160191631121
"516",516,2019.81369863014,"WP3","wm","S5-WP3-…","Marked","28/10/2019","d3","Pitfall",55,"WP",1,0,-1.10160191631121
"517",517,2019.81369863014,"MP1","wm","S5-MP1-1","Marked","16/10/2019","b4","Pitfall",62,"MP",1,0,-1.10160191631121
"518",518,2019.81369863014,"MP1","wm","S5-MP1-2","Marked","16/10/2019","b4","Pitfall",58,"MP",1,0,-1.10160191631121
"519",519,2019.81369863014,"MP1","op","MP1-0402","Marked","23/10/2019","a1","Pitfall",61,"MP",1,0,-1.10160191631121
"520",520,2019.81369863014,"MP1","wm","S5-MP1-6","Marked","18/10/2019","b1","Pitfall",62,"MP",1,0,-1.10160191631121
"522",522,2019.81369863014,"MP1","op","MP1-2002","Marked","18/10/2019","e2","Onduline",38,"MP",1,0,-1.10160191631121
"523",523,2019.81369863014,"MP1","op","MP1-0204","Marked","19/10/2019","e5","Pitfall",38,"MP",1,0,-1.10160191631121
"524",524,2019.81369863014,"MP1","op","MP1-0220","Marked","23/10/2019","e5","Pitfall",52,"MP",1,0,-1.10160191631121
"525",525,2019.81369863014,"MP2","op","MP2-0030f","Marked","29/10/2019","a5","Pitfall",62,"MP",0,0,-1.10160191631121
"526",526,2019.81369863014,"MP2","op","MP2-0403","Marked","29/10/2019","a5","Pitfall",63,"MP",0,0,-1.10160191631121
"530",530,2019.81369863014,"MP2","wm","S5-MP2-1","Marked","29/10/2019","b1","Pitfall",69,"MP",0,0,-1.10160191631121
"531",531,2019.81369863014,"MP2","wm","S5-MP2-2","Marked","29/10/2019","c4","Pitfall",61,"MP",0,0,-1.10160191631121
"532",532,2019.81369863014,"MP2","wm","S5-MP2-3","Marked","29/10/2019","d6","Onduline",60,"MP",0,0,-1.10160191631121
"533",533,2019.81369863014,"MP2","wm","S5-MP2-4","Marked","29/10/2019","d5","Pitfall",60,"MP",0,0,-1.10160191631121
"534",534,2019.81369863014,"MP2","wm","S5-MP2-5","Marked","29/10/2019","d1","Pitfall",59,"MP",0,0,-1.10160191631121
"535",535,2019.81369863014,"MP2","op","MP2-5102","Marked","29/10/2019","a5","Pitfall",60,"MP",0,0,-1.10160191631121
"536",536,2019.81369863014,"MP2","op","MP2-5103","Marked","29/10/2019","a5","Pitfall",56,"MP",0,0,-1.10160191631121
"537",537,2019.81369863014,"MP2","wm","S5-MP2-6","Marked","30/10/2019","b3","Onduline",53,"MP",0,0,-1.10160191631121
"538",538,2019.81369863014,"MP2","op","MP2-0304","Marked","30/10/2019","f4","Pitfall",57,"MP",0,0,-1.10160191631121
"539",539,2019.81369863014,"MP2","wm","S5-MP2-7","Marked","31/10/2019","a4","Onduline",67,"MP",0,0,-1.10160191631121
"540",540,2018.0602739726,"RE1","op","RE1-0400","Marked","7/01/2018","a5","Pitfall",43,"RE",0,0,-2.85502657384541
"541",541,2019.81369863014,"MP2","wm","S5-MP2-8","Marked","31/10/2019","b4","Onduline",63,"MP",0,0,-1.10160191631121
"542",542,2018.0602739726,"RE1","op","RE1-0205","Marked","7/01/2018","a6","Pitfall",65,"RE",0,0,-2.85502657384541
"544",544,2018.0602739726,"RE1","op","RE1-4400","Marked","7/01/2018","b3","Pitfall",48,"RE",0,0,-2.85502657384541
"545",545,2019.81369863014,"MP2","wm","S5-MP2--","Marked","3/11/2019","b3","Onduline",33,"MP",0,0,-1.10160191631121
"547",547,2019.81369863014,"MP2","op","MP2-0004m","Marked","3/11/2019","b4","Pitfall",53,"MP",0,0,-1.10160191631121
"549",549,2019.81369863014,"MP2","op","MP2-0530","Marked","3/11/2019","a6","Pitfall",41,"MP",0,0,-1.10160191631121
"550",550,2018.0602739726,"RE1","op","RE1-3000","Marked","7/01/2018","c5","Pitfall",58,"RE",0,0,-2.85502657384541
"551",551,2019.81369863014,"MP2","wm","S5-MP2-U1","Marked","3/11/2019","d5","Pitfall",32,"MP",0,0,-1.10160191631121
"553",553,2019.81369863014,"MP2","op","MP2-5143","Marked","5/11/2019","a5","Pitfall",56,"MP",0,0,-1.10160191631121
"555",555,2019.81369863014,"MP2","op","MP2-0(34)00","Marked","5/11/2019","f6","Pitfall",41,"MP",0,0,-1.10160191631121
"557",557,2019.81369863014,"MP2","wm","S5-MP2-U2","Marked","5/11/2019","d1","Pitfall",42,"MP",0,0,-1.10160191631121
"559",559,2019.81369863014,"MP2","op","MP2-0203","Marked","5/11/2019","d1","Pitfall",62,"MP",0,0,-1.10160191631121
"562",562,2018.0602739726,"RE1","op","RE1-4500","Marked","7/01/2018","e5","Pitfall",46,"RE",0,0,-2.85502657384541
"564",564,2018.0602739726,"RE1","op","RE1-00(34)0","Marked","7/01/2018","e3","Pitfall",64.5,"RE",0,0,-2.85502657384541
"566",566,2018.0602739726,"RE1","op","RE1-00(13)5","Marked","8/01/2018","a4","Pitfall",64,"RE",0,0,-2.85502657384541
"568",568,2018.0602739726,"RE1","op","RE1-00(13)5","Marked","12/01/2018","b3","Pitfall",64,"RE",0,0,-2.85502657384541
"570",570,2018.0602739726,"RE1","op","RE1-0054f","Marked","8/01/2018","d1","Pitfall",62,"RE",0,0,-2.85502657384541
"572",572,2018.0602739726,"RE1","op","RE1-0003","Marked","8/01/2018","d5","Pitfall",68,"RE",0,0,-2.85502657384541
"574",574,2018.0602739726,"RE1","op","RE1-3010","Marked","9/01/2018","a5","Pitfall",46,"RE",0,0,-2.85502657384541
"576",576,2018.0602739726,"RE1","op","RE1-0105","Marked","10/01/2018","f2","Pitfall",58,"RE",0,0,-2.85502657384541
"580",580,2018.0602739726,"RE1","op","RE1-0440","Marked","14/01/2018","a4","Pitfall",54,"RE",0,0,-2.85502657384541
"582",582,2018.0602739726,"RE1","op","RE1-0041","Marked","14/01/2018","c3","Pitfall",48,"RE",0,0,-2.85502657384541
"584",584,2018.0602739726,"RE1","op","RE1-00(15)0","Marked","14/01/2018","d5","Pitfall",26,"RE",0,0,-2.85502657384541
"586",586,2018.0602739726,"RE2","op","RE2-0103","Marked","7/01/2018","c2","Onduline",47,"RE",0,0,-2.85502657384541
"588",588,2018.0602739726,"RE2","op","RE2-0340","Marked","7/01/2018","a6","Onduline",51.5,"RE",0,0,-2.85502657384541
"592",592,2018.0602739726,"RE2","op","RE2-0302","Marked","7/01/2018","a4","Pitfall",58,"RE",0,0,-2.85502657384541
"594",594,2018.0602739726,"RE2","op","RE2-(45)505","Marked","7/01/2018","b4","Pitfall",65,"RE",0,0,-2.85502657384541
"596",596,2018.0602739726,"RE2","op","RE2-0205","Marked","7/01/2018","a3","Pitfall",50,"RE",0,0,-2.85502657384541
"598",598,2018.0602739726,"RE2","wm","S2-RE2-1","Marked","7/01/2018","e1","Onduline",69,"RE",0,0,-2.85502657384541
"600",600,2018.0602739726,"RE2","op","RE2-5310","Marked","7/01/2018","a1","Pitfall",65,"RE",0,0,-2.85502657384541
"602",602,2018.0602739726,"RE2","op","RE2-0503","Marked","7/01/2018","a1","Pitfall",47,"RE",0,0,-2.85502657384541
"604",604,2018.0602739726,"RE2","op","RE2-004(35)","Marked","8/01/2018","e1","Pitfall",57,"RE",0,0,-2.85502657384541
"606",606,2018.0602739726,"RE2","op","RE2-5310","Marked","9/01/2018","b1","Pitfall",63,"RE",0,0,-2.85502657384541
"608",608,2018.0602739726,"RE2","op","RE2-0220","Marked","10/01/2018","f6","Pitfall",57,"RE",0,0,-2.85502657384541
